-;wyklad(30);cwiczenia(26);labolatoria(25);projekt(31);
angielski(27);00[00000]00;10[11100]00;00[00000]00;00[00000]00;
grafika i komunikacja czlowiek komputer(21);10[11100]00;10[00011]00;00[00000]00;00[00000]00;
inzynieria oprogramowania(15);10[00110]00;00[00000]00;00[00000]00;00[00000]00;
metody obliczeniowe(18);10[11100]00;00[00000]00;10[00011]00;00[00000]00;
metody propabilistyczne i statystyka(15);10[10000]00;10[10000]00;10[11100]00;00[00000]00;
programowanie w internecie(16);10[11100]00;00[00000]00;10[00111]00;10[00001]00;
programowanie w srodowiskach graficznych(16);10[11100]00;00[00000]00;10[00011]00;00[00000]00;
technologie sieciowe(21);10[11100]00;00[00000]00;10[00111]00;00[00000]00;
